"REP_treat","time_treat","status","antID","tagIDdecimal","identifStart","identifEnd","AntTask1perc","prop_time_outside","box","colony_size","treatment","Comment","Exposed","IsAlive","IsQueen","surviv_time","tag_reoriented","N_exposed","exp_start","exp_end","pre_start","pre_end","middle_start","middle_end","post_start","post_end"
"DF_alleline_c05","DF","Day",27,625,NA,NA,"forager",0.046,"alleline",105,"Pathogen",NA,TRUE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",28,646,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",29,699,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",30,713,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",31,728,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",32,788,NA,NA,"forager",0.04,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",33,798,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",34,799,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",35,817,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",36,819,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
